"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"05.10.2023","424,50","424,36","425,37","421,17","69,92M","-0,04%"
"04.10.2023","424,66","422,07","425,43","420,56","87,07M","0,73%"
"03.10.2023","421,59","425,06","427,37","420,18","102,99M","-1,34%"
"02.10.2023","427,31","426,62","428,60","424,46","83,26M","-0,04%"
"29.09.2023","427,48","431,67","431,85","425,91","115,11M","-0,24%"
"28.09.2023","428,52","425,48","430,25","424,87","90,92M","0,58%"
"27.09.2023","426,05","427,09","427,67","422,29","104,21M","0,04%"
"26.09.2023","425,88","429,09","429,82","425,02","95,77M","-1,47%"
"25.09.2023","432,23","429,17","432,27","428,72","69,87M","0,42%"
"22.09.2023","430,42","432,45","434,10","429,99","100,83M","-0,22%"
"21.09.2023","431,39","435,70","435,97","431,23","103,39M","-1,65%"
"20.09.2023","438,64","444,01","444,43","438,43","81,01M","-0,92%"
"19.09.2023","442,71","442,68","443,29","439,94","64,59M","-0,21%"
"18.09.2023","443,63","443,05","444,97","442,56","55,45M","0,06%"
"15.09.2023","443,37","447,14","447,48","442,92","111,85M","-1,55%"
"14.09.2023","450,36","449,07","451,08","447,71","82,08M","0,86%"
"13.09.2023","446,51","446,22","447,71","445,08","59,88M","0,12%"
"12.09.2023","445,99","446,95","448,53","445,39","66,93M","-0,55%"
"11.09.2023","448,45","448,24","448,77","446,47","59,91M","0,66%"
"08.09.2023","445,52","444,90","447,11","444,53","62,07M","0,15%"
"07.09.2023","444,85","443,11","445,55","442,75","69,79M","-0,31%"
"06.09.2023","446,22","448,40","448,51","443,81","70,00M","-0,67%"
"05.09.2023","449,24","450,73","451,06","449,17","54,78M","-0,43%"
"01.09.2023","451,19","453,17","453,67","449,68","58,94M","0,19%"
"31.08.2023","450,35","451,65","452,83","450,16","65,48M","-0,15%"
"30.08.2023","451,01","449,51","451,67","448,78","67,35M","0,41%"
"29.08.2023","449,16","442,65","449,45","442,46","82,61M","1,45%"
"28.08.2023","442,76","442,24","443,40","439,97","59,71M","0,63%"
"25.08.2023","439,97","438,68","441,30","435,00","102,33M","0,70%"
"24.08.2023","436,89","444,69","445,22","436,86","88,06M","-1,39%"
"23.08.2023","443,03","439,25","443,67","439,10","67,16M","1,11%"
"22.08.2023","438,15","441,18","441,18","437,57","64,46M","-0,27%"
"21.08.2023","439,34","437,55","440,11","435,32","68,38M","0,65%"
"18.08.2023","436,50","433,37","437,57","433,01","98,85M","0,05%"
"17.08.2023","436,29","441,16","441,43","435,75","94,79M","-0,76%"
"16.08.2023","439,64","442,46","444,18","439,53","78,69M","-0,73%"
"15.08.2023","442,89","446,27","446,64","442,30","75,00M","-1,16%"
"14.08.2023","448,11","444,70","448,11","444,38","47,47M","0,55%"
"11.08.2023","445,65","443,97","446,70","443,35","68,69M","-0,06%"
"10.08.2023","445,91","448,19","451,70","444,70","92,71M","0,04%"
"09.08.2023","445,75","449,03","449,20","444,96","77,47M","-0,67%"
"08.08.2023","448,75","448,08","450,70","445,27","71,36M","-0,43%"
"07.08.2023","450,71","448,71","450,86","447,99","58,36M","0,87%"
"04.08.2023","446,81","450,72","452,89","446,27","100,13M","-0,45%"
"03.08.2023","448,84","448,04","450,79","447,37","63,13M","-0,29%"
"02.08.2023","450,13","453,25","453,52","449,35","92,85M","-1,39%"
"01.08.2023","456,48","456,27","457,25","455,49","53,56M","-0,29%"
"31.07.2023","457,79","457,41","458,16","456,05","61,35M","0,19%"
"28.07.2023","456,92","455,88","457,78","452,49","80,01M","0,98%"
"27.07.2023","452,49","459,02","459,44","451,55","91,76M","-0,66%"
"26.07.2023","455,51","454,47","456,99","453,38","69,88M","0,02%"
"25.07.2023","455,44","453,92","456,73","453,87","54,60M","0,27%"
"24.07.2023","454,20","453,37","455,04","452,30","53,79M","0,45%"
"21.07.2023","452,18","453,96","454,17","452,17","71,28M","0,00%"
"20.07.2023","452,18","454,17","455,10","451,44","70,59M","-0,66%"
"19.07.2023","455,20","455,01","456,43","454,11","65,89M","0,22%"
"18.07.2023","454,19","450,50","454,86","450,05","79,44M","0,74%"
"17.07.2023","450,84","449,13","451,93","449,08","52,32M","0,35%"
"14.07.2023","449,28","450,48","451,36","448,49","69,82M","-0,06%"
"13.07.2023","449,56","447,90","450,38","447,45","71,70M","0,79%"
